"module name","license","repository"
"@agoric/babel-generator@7.17.6","MIT","https://github.com/babel/babel"
"@ampproject/remapping@2.3.0","Apache-2.0","https://github.com/ampproject/remapping"
"@anthropic-ai/sdk@0.9.1","MIT","https://github.com/anthropics/anthropic-sdk-typescript"
"@babel/code-frame@7.24.2","MIT","https://github.com/babel/babel"
"@babel/compat-data@7.24.4","MIT","https://github.com/babel/babel"
"@babel/core@7.24.4","MIT","https://github.com/babel/babel"
"@babel/generator@7.24.4","MIT","https://github.com/babel/babel"
"@babel/helper-compilation-targets@7.23.6","MIT","https://github.com/babel/babel"
"@babel/helper-environment-visitor@7.22.20","MIT","https://github.com/babel/babel"
"@babel/helper-function-name@7.23.0","MIT","https://github.com/babel/babel"
"@babel/helper-hoist-variables@7.22.5","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.24.3","MIT","https://github.com/babel/babel"
"@babel/helper-module-transforms@7.23.3","MIT","https://github.com/babel/babel"
"@babel/helper-plugin-utils@7.24.0","MIT","https://github.com/babel/babel"
"@babel/helper-simple-access@7.22.5","MIT","https://github.com/babel/babel"
"@babel/helper-split-export-declaration@7.22.6","MIT","https://github.com/babel/babel"
"@babel/helper-string-parser@7.24.1","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.22.20","MIT","https://github.com/babel/babel"
"@babel/helper-validator-option@7.23.5","MIT","https://github.com/babel/babel"
"@babel/helpers@7.24.4","MIT","https://github.com/babel/babel"
"@babel/highlight@7.24.2","MIT","https://github.com/babel/babel"
"@babel/parser@7.24.4","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-export-namespace-from@7.18.9","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-export-namespace-from@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-export-namespace-from"
"@babel/plugin-transform-modules-commonjs@7.24.1","MIT","https://github.com/babel/babel"
"@babel/runtime@7.24.4","MIT","https://github.com/babel/babel"
"@babel/template@7.24.0","MIT","https://github.com/babel/babel"
"@babel/traverse@7.24.1","MIT","https://github.com/babel/babel"
"@babel/types@7.24.0","MIT","https://github.com/babel/babel"
"@casl/ability@6.7.1","MIT","https://github.com/stalniy/casl"
"@colors/colors@1.6.0","MIT","https://github.com/DABH/colors.js"
"@dabh/diagnostics@2.0.3","MIT","https://github.com/3rd-Eden/diagnostics"
"@endo/cjs-module-analyzer@1.0.4","Apache-2.0","https://github.com/endojs/endo"
"@endo/compartment-mapper@1.1.4","Apache-2.0","https://github.com/endojs/endo"
"@endo/env-options@1.1.3","Apache-2.0","https://github.com/endojs/endo"
"@endo/static-module-record@1.1.1","Apache-2.0","https://github.com/endojs/endo"
"@endo/zip@1.0.4","Apache-2.0","https://github.com/endojs/endo"
"@esbuild/darwin-x64@0.19.12","MIT","https://github.com/evanw/esbuild"
"@faker-js/faker@5.5.3","MIT","https://github.com/Marak/Faker.js"
"@faker-js/faker@6.3.1","MIT","https://github.com/faker-js/faker"
"@featherscloud/pinion@0.5.4","MIT","https://github.com/feathershq/pinion"
"@feathersjs/adapter-commons@5.0.24","MIT","https://github.com/feathersjs/feathers"
"@feathersjs/authentication-client@5.0.24","MIT","https://github.com/feathersjs/feathers"
"@feathersjs/authentication-local@5.0.24","MIT","https://github.com/feathersjs/feathers"
"@feathersjs/authentication-oauth@5.0.24","MIT","https://github.com/feathersjs/feathers"
"@feathersjs/authentication@5.0.24","MIT","https://github.com/feathersjs/feathers"
"@feathersjs/cli@5.0.24","MIT","https://github.com/feathersjs/feathers"
"@feathersjs/commons@5.0.24","MIT","https://github.com/feathersjs/feathers"
"@feathersjs/configuration@5.0.24","MIT","https://github.com/feathersjs/feathers"
"@feathersjs/errors@4.5.17","MIT","https://github.com/feathersjs/feathers"
"@feathersjs/errors@5.0.24","MIT","https://github.com/feathersjs/feathers"
"@feathersjs/express@5.0.24","MIT","https://github.com/feathersjs/feathers"
"@feathersjs/feathers@5.0.24","MIT","https://github.com/feathersjs/feathers"
"@feathersjs/generators@5.0.24","MIT","https://github.com/feathersjs/feathers"
"@feathersjs/hooks@0.9.0","MIT","https://github.com/feathersjs/hooks"
"@feathersjs/knex@5.0.24","MIT","https://github.com/feathersjs/feathers"
"@feathersjs/koa@5.0.24","MIT","https://github.com/feathersjs/feathers"
"@feathersjs/rest-client@5.0.24","MIT","https://github.com/feathersjs/feathers"
"@feathersjs/schema@5.0.24","MIT","https://github.com/feathersjs/feathers"
"@feathersjs/transport-commons@5.0.24","MIT","https://github.com/feathersjs/feathers"
"@feathersjs/typebox@5.0.24","MIT","https://github.com/feathersjs/feathers"
"@google-cloud/common@5.0.1","Apache-2.0","https://github.com/googleapis/nodejs-common"
"@google-cloud/logging-winston@6.0.0","Apache-2.0","https://github.com/googleapis/nodejs-logging-winston"
"@google-cloud/logging@11.0.0","Apache-2.0","https://github.com/googleapis/nodejs-logging"
"@google-cloud/paginator@5.0.0","Apache-2.0","https://github.com/googleapis/nodejs-paginator"
"@google-cloud/projectify@4.0.0","Apache-2.0","https://github.com/googleapis/nodejs-projectify"
"@google-cloud/promisify@4.0.0","Apache-2.0","https://github.com/googleapis/nodejs-promisify"
"@google-cloud/storage@7.10.0","Apache-2.0","https://github.com/googleapis/nodejs-storage"
"@grpc/grpc-js@1.10.6","Apache-2.0","https://github.com/grpc/grpc-node/tree/master/packages/grpc-js"
"@grpc/proto-loader@0.7.12","Apache-2.0","https://github.com/grpc/grpc-node"
"@inquirer/figures@1.0.1","MIT","https://github.com/SBoudrias/Inquirer.js"
"@jridgewell/gen-mapping@0.3.5","MIT","https://github.com/jridgewell/gen-mapping"
"@jridgewell/resolve-uri@3.1.2","MIT","https://github.com/jridgewell/resolve-uri"
"@jridgewell/set-array@1.2.1","MIT","https://github.com/jridgewell/set-array"
"@jridgewell/sourcemap-codec@1.4.15","MIT","https://github.com/jridgewell/sourcemap-codec"
"@jridgewell/trace-mapping@0.3.25","MIT","https://github.com/jridgewell/trace-mapping"
"@js-sdsl/ordered-map@4.4.2","MIT","https://github.com/js-sdsl/js-sdsl"
"@jsdevtools/ono@7.1.3","MIT","https://github.com/JS-DevTools/ono"
"@koa/cors@5.0.0","MIT","https://github.com/koajs/cors"
"@koa/multer@3.0.2","MIT","https://github.com/koajs/multer"
"@langchain/community@0.0.49","MIT","https://github.com/langchain-ai/langchainjs"
"@langchain/core@0.1.58","MIT","https://github.com/langchain-ai/langchainjs"
"@langchain/openai@0.0.28","MIT","https://github.com/langchain-ai/langchainjs"
"@ljharb/through@2.3.13","MIT","https://github.com/ljharb/through"
"@protobufjs/aspromise@1.1.2","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/base64@1.1.2","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/codegen@2.0.4","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/eventemitter@1.1.0","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/fetch@1.1.0","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/float@1.0.2","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/inquire@1.1.0","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/path@1.1.2","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/pool@1.1.0","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@protobufjs/utf8@1.1.0","BSD-3-Clause","https://github.com/dcodeIO/protobuf.js"
"@sinclair/typebox@0.25.24","MIT","https://github.com/sinclairzx81/typebox"
"@sinclair/typebox@0.32.20","MIT","https://github.com/sinclairzx81/typebox"
"@stoplight/http-spec@7.0.3","Apache-2.0","https://github.com/stoplightio/http-spec"
"@stoplight/json-schema-generator@1.0.2","MIT","https://github.com/stoplightio/json-schema-generator"
"@stoplight/json-schema-merge-allof@0.7.8","MIT","https://github.com/stoplightio/json-schema-merge-allof"
"@stoplight/json-schema-ref-parser@9.2.7","MIT","https://github.com/stoplightio/json-schema-ref-parser"
"@stoplight/json-schema-sampler@0.3.0","MIT","https://github.com/stoplightio/json-schema-sampler"
"@stoplight/json@3.21.0","Apache-2.0","https://github.com/stoplightio/json"
"@stoplight/ordered-object-literal@1.0.5","Apache-2.0","https://github.com/stoplightio/ordered-object-literal"
"@stoplight/path@1.3.2","Apache-2.0","https://github.com/stoplightio/path"
"@stoplight/prism-cli@5.7.0","Apache-2.0","https://github.com/stoplightio/prism"
"@stoplight/prism-core@5.6.0","Apache-2.0","https://github.com/stoplightio/prism"
"@stoplight/prism-http-server@5.7.0","Apache-2.0","https://github.com/stoplightio/prism"
"@stoplight/prism-http@5.7.0","Apache-2.0","https://github.com/stoplightio/prism"
"@stoplight/types@13.20.0","Apache-2.0","https://github.com/stoplightio/types"
"@stoplight/types@14.1.0","Apache-2.0","https://github.com/stoplightio/types"
"@stoplight/types@14.1.1","Apache-2.0","https://github.com/stoplightio/types"
"@stoplight/yaml-ast-parser@0.0.50","Apache-2.0","https://github.com/stoplightio/yaml-ast-parser"
"@stoplight/yaml@4.3.0","Apache-2.0","https://github.com/stoplightio/yaml"
"@tootallnate/once@2.0.0","MIT","https://github.com/TooTallNate/once"
"@tootallnate/quickjs-emscripten@0.23.0","MIT","https://github.com/justjake/quickjs-emscripten"
"@types/accepts@1.3.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/body-parser@1.19.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/caseless@0.12.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/co-body@6.1.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/compression@1.7.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/config@3.3.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/connect@3.4.38","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/content-disposition@0.5.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/cookiejar@2.1.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/cookies@0.9.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/cors@2.8.17","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/express-serve-static-core@4.19.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/express@4.17.21","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/formidable@2.0.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/http-assert@1.5.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/http-errors@2.0.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/inquirer@9.0.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/json-schema@7.0.11","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/json-schema@7.0.15","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/jsonwebtoken@9.0.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/keygrip@1.0.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/koa-compose@3.2.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/koa-qs@2.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/koa-send@4.1.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/koa-static@4.0.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/koa@2.15.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/koa__cors@5.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/long@4.0.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/methods@1.1.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/mime@1.3.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node-fetch@2.6.11","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@18.19.31","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/node@20.12.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/qs@6.9.15","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/range-parser@1.2.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/request@2.48.12","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/retry@0.12.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/send@0.17.4","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/serve-static@1.15.7","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/superagent@8.1.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/swagger-schema-official@2.0.25","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/through@0.0.33","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/tough-cookie@4.0.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/triple-beam@1.3.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/type-is@1.6.6","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/uuid@9.0.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@ucast/core@1.10.2","Apache-2.0","https://github.com/stalniy/ucast"
"@ucast/js@3.0.4","Apache-2.0","https://github.com/stalniy/ucast"
"@ucast/mongo2js@1.3.4","Apache-2.0","https://github.com/stalniy/ucast"
"@ucast/mongo@2.4.3","Apache-2.0","https://github.com/stalniy/ucast"
"@yarnpkg/lockfile@1.1.0","BSD-2-Clause","https://github.com/yarnpkg/yarn/blob/master/packages/lockfile"
"abbrev@1.1.1","ISC","https://github.com/isaacs/abbrev-js"
"abort-controller@3.0.0","MIT","https://github.com/mysticatea/abort-controller"
"abstract-logging@2.0.1","MIT","https://github.com/jsumners/abstract-logging"
"accepts@1.3.8","MIT","https://github.com/jshttp/accepts"
"agent-base@6.0.2","MIT","https://github.com/TooTallNate/node-agent-base"
"agent-base@7.1.1","MIT","https://github.com/TooTallNate/proxy-agents"
"agentkeepalive@4.5.0","MIT","https://github.com/node-modules/agentkeepalive"
"ajv-formats@2.1.1","MIT","https://github.com/ajv-validator/ajv-formats"
"ajv@6.12.6","MIT","https://github.com/ajv-validator/ajv"
"ajv@8.14.0","MIT","https://github.com/ajv-validator/ajv"
"ansi-colors@4.1.1","MIT","https://github.com/doowb/ansi-colors"
"ansi-escapes@4.3.2","MIT","https://github.com/sindresorhus/ansi-escapes"
"ansi-regex@2.1.1","MIT","https://github.com/chalk/ansi-regex"
"ansi-regex@5.0.1","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles@3.2.1","MIT","https://github.com/chalk/ansi-styles"
"ansi-styles@4.3.0","MIT","https://github.com/chalk/ansi-styles"
"ansi-styles@5.2.0","MIT","https://github.com/chalk/ansi-styles"
"anymatch@3.1.3","ISC","https://github.com/micromatch/anymatch"
"api@0.0.0","UNLICENSED",""
"append-field@1.0.0","MIT","https://github.com/LinusU/node-append-field"
"argparse@1.0.10","MIT","https://github.com/nodeca/argparse"
"argparse@2.0.1","Python-2.0","https://github.com/nodeca/argparse"
"array-buffer-byte-length@1.0.1","MIT","https://github.com/inspect-js/array-buffer-byte-length"
"array-flatten@1.1.1","MIT","https://github.com/blakeembrey/array-flatten"
"arraybuffer.prototype.slice@1.0.3","MIT","https://github.com/es-shims/ArrayBuffer.prototype.slice"
"arrify@2.0.1","MIT","https://github.com/sindresorhus/arrify"
"as-table@1.0.55","MIT","https://github.com/xpl/as-table"
"asap@2.0.6","MIT","https://github.com/kriskowal/asap"
"asn1.js@5.4.1","MIT","https://github.com/indutny/asn1.js"
"assertion-error@2.0.1","MIT","https://github.com/chaijs/assertion-error"
"async-retry@1.3.3","MIT","https://github.com/vercel/async-retry"
"async@3.2.5","MIT","https://github.com/caolan/async"
"asynckit@0.4.0","MIT","https://github.com/alexindigo/asynckit"
"at-least-node@1.0.0","ISC","https://github.com/RyanZim/at-least-node"
"atomic-sleep@1.0.0","MIT","https://github.com/davidmarkclements/atomic-sleep"
"available-typed-arrays@1.0.7","MIT","https://github.com/inspect-js/available-typed-arrays"
"axios@1.6.8","MIT","https://github.com/axios/axios"
"balanced-match@1.0.2","MIT","https://github.com/juliangruber/balanced-match"
"base-64@0.1.0","MIT","https://github.com/mathiasbynens/base64"
"base64-js@1.5.1","MIT","https://github.com/beatgammit/base64-js"
"bcryptjs@2.4.3","MIT","https://github.com/dcodeIO/bcrypt.js"
"bignumber.js@9.1.2","MIT","https://github.com/MikeMcl/bignumber.js"
"binary-extensions@2.3.0","MIT","https://github.com/sindresorhus/binary-extensions"
"binary-search@1.3.6","CC0-1.0","https://github.com/darkskyapp/binary-search"
"bl@4.1.0","MIT","https://github.com/rvagg/bl"
"bluebird@3.7.2","MIT","https://github.com/petkaantonov/bluebird"
"bn.js@4.12.0","MIT","https://github.com/indutny/bn.js"
"body-parser@1.20.2","MIT","https://github.com/expressjs/body-parser"
"brace-expansion@1.1.11","MIT","https://github.com/juliangruber/brace-expansion"
"brace-expansion@2.0.1","MIT","https://github.com/juliangruber/brace-expansion"
"braces@3.0.2","MIT","https://github.com/micromatch/braces"
"brorand@1.1.0","MIT","https://github.com/indutny/brorand"
"browser-stdout@1.3.1","ISC","https://github.com/kumavis/browser-stdout"
"browserslist@4.23.0","MIT","https://github.com/browserslist/browserslist"
"buffer-equal-constant-time@1.0.1","BSD-3-Clause","https://github.com/goinstant/buffer-equal-constant-time"
"buffer-from@1.1.2","MIT","https://github.com/LinusU/buffer-from"
"buffer@5.7.1","MIT","https://github.com/feross/buffer"
"busboy@1.6.0","MIT","https://github.com/mscdex/busboy"
"bytes@3.0.0","MIT","https://github.com/visionmedia/bytes.js"
"bytes@3.1.2","MIT","https://github.com/visionmedia/bytes.js"
"cache-content-type@1.0.1","MIT","https://github.com/node-modules/cache-content-type"
"call-bind@1.0.7","MIT","https://github.com/ljharb/call-bind"
"call-me-maybe@1.0.2","MIT","https://github.com/limulus/call-me-maybe"
"callsites@3.1.0","MIT","https://github.com/sindresorhus/callsites"
"camelcase@2.1.1","MIT","https://github.com/sindresorhus/camelcase"
"camelcase@6.3.0","MIT","https://github.com/sindresorhus/camelcase"
"caniuse-lite@1.0.30001610","CC-BY-4.0","https://github.com/browserslist/caniuse-lite"
"caseless@0.12.0","Apache-2.0","https://github.com/mikeal/caseless"
"chai@5.1.0","MIT","https://github.com/chaijs/chai"
"chalk@2.4.2","MIT","https://github.com/chalk/chalk"
"chalk@4.1.2","MIT","https://github.com/chalk/chalk"
"chalk@5.3.0","MIT","https://github.com/chalk/chalk"
"chardet@0.7.0","MIT","https://github.com/runk/node-chardet"
"charenc@0.0.2","BSD-3-Clause","https://github.com/pvorb/node-charenc"
"charset@1.0.1","MIT","https://github.com/node-modules/charset"
"check-error@2.0.0","MIT","https://github.com/chaijs/check-error"
"chokidar@3.5.3","MIT","https://github.com/paulmillr/chokidar"
"chokidar@3.6.0","MIT","https://github.com/paulmillr/chokidar"
"ci-info@3.9.0","MIT","https://github.com/watson/ci-info"
"cli-cursor@3.1.0","MIT","https://github.com/sindresorhus/cli-cursor"
"cli-spinners@2.9.2","MIT","https://github.com/sindresorhus/cli-spinners"
"cli-width@4.1.0","ISC","https://github.com/knownasilya/cli-width"
"cliui@3.2.0","ISC","https://github.com/yargs/cliui"
"cliui@7.0.4","ISC","https://github.com/yargs/cliui"
"cliui@8.0.1","ISC","https://github.com/yargs/cliui"
"clone@1.0.4","MIT","https://github.com/pvorb/node-clone"
"co-body@6.1.0","MIT","https://github.com/cojs/co-body"
"co@4.6.0","MIT","https://github.com/tj/co"
"code-point-at@1.1.0","MIT","https://github.com/sindresorhus/code-point-at"
"color-convert@1.9.3","MIT","https://github.com/Qix-/color-convert"
"color-convert@2.0.1","MIT","https://github.com/Qix-/color-convert"
"color-name@1.1.3","MIT","https://github.com/dfcreative/color-name"
"color-name@1.1.4","MIT","https://github.com/colorjs/color-name"
"color-string@1.9.1","MIT","https://github.com/Qix-/color-string"
"color@3.2.1","MIT","https://github.com/Qix-/color"
"colorette@2.0.19","MIT","https://github.com/jorgebucaran/colorette"
"colorspace@1.1.4","MIT","https://github.com/3rd-Eden/colorspace"
"combined-stream@1.0.8","MIT","https://github.com/felixge/node-combined-stream"
"commander@10.0.1","MIT","https://github.com/tj/commander.js"
"commander@12.0.0","MIT","https://github.com/tj/commander.js"
"commander@9.5.0","MIT","https://github.com/tj/commander.js"
"compressible@2.0.18","MIT","https://github.com/jshttp/compressible"
"compression@1.7.4","MIT","https://github.com/expressjs/compression"
"compute-gcd@1.2.1","MIT","https://github.com/compute-io/gcd"
"compute-lcm@1.1.2","MIT","https://github.com/compute-io/lcm"
"concat-map@0.0.1","MIT","https://github.com/substack/node-concat-map"
"concat-stream@1.6.2","MIT","https://github.com/maxogden/concat-stream"
"concat-stream@2.0.0","MIT","https://github.com/maxogden/concat-stream"
"concurrently@8.2.2","MIT","https://github.com/open-cli-tools/concurrently"
